지점,지점명,일시,평균기온(°C),일강수량(mm),평균 풍속(m/s)
401,서초,2016-01-01,2.5,0,.6
401,서초,2016-01-02,7.5,0,.8
401,서초,2016-01-03,7.6,0,.6
401,서초,2016-01-04,3.4,0,1.8
401,서초,2016-01-05,-.8,0,1.5
401,서초,2016-01-06,.1,0,1.2
401,서초,2016-01-07,-1.4,0,1.7
401,서초,2016-01-08,-1.1,0,1.5
401,서초,2016-01-09,0,0,1.4
401,서초,2016-01-10,1.9,0,1.5
401,서초,2016-01-11,-2.2,0,1.6
401,서초,2016-01-12,-3.3,0,1.5
401,서초,2016-01-13,-2.7,0,1.4
401,서초,2016-01-14,-1.8,0,1
401,서초,2016-01-15,1.3,0,.8
401,서초,2016-01-16,1.2,0,.9
401,서초,2016-01-17,2.9,0,.7
401,서초,2016-01-18,-4.8,0,2.8
401,서초,2016-01-19,-10.9,0,3.2
401,서초,2016-01-20,-8.5,0,1.2
401,서초,2016-01-21,-5.4,0,1.2
401,서초,2016-01-22,-5.9,0,1.6
401,서초,2016-01-23,-9.8,0,2.5
401,서초,2016-01-24,-12.8,0,2.1
401,서초,2016-01-25,-7.6,0,1.2
401,서초,2016-01-26,-1.9,0,.8
401,서초,2016-01-27,.6,0,1.4
401,서초,2016-01-28,.7,0,.7
401,서초,2016-01-29,3.4,0,1.1
401,서초,2016-01-30,2.4,0,1.1
401,서초,2016-01-31,-2.3,0,1.9
401,서초,2016-02-01,-4.5,0,1.7
401,서초,2016-02-02,-3.3,0,1.3
401,서초,2016-02-03,-1.2,0,1.1
401,서초,2016-02-04,1.3,0,1.5
401,서초,2016-02-05,-.3,0,1.5
401,서초,2016-02-06,-1.5,0,1.7
401,서초,2016-02-07,-1.3,0,1.1
401,서초,2016-02-08,2.7,0,1.7
401,서초,2016-02-09,2.3,0,2.1
401,서초,2016-02-10,3.6,0,.6
401,서초,2016-02-11,8.7,.5,.9
401,서초,2016-02-12,9.3,16,.6
401,서초,2016-02-13,12,16.5,.9
401,서초,2016-02-14,-1.1,1.5,3.2
401,서초,2016-02-15,-4.6,0,2.2
401,서초,2016-02-16,-.6,0,2
401,서초,2016-02-17,1.7,0,1.4
401,서초,2016-02-18,4.7,0,1.4
401,서초,2016-02-19,4.2,0,1
401,서초,2016-02-20,3.1,0,1.9
401,서초,2016-02-21,1.1,0,1.8
401,서초,2016-02-22,2.6,0,.7
401,서초,2016-02-23,1.9,0,1.8
401,서초,2016-02-24,-1.5,0,1.7
401,서초,2016-02-25,1.7,0,1.9
401,서초,2016-02-26,3.4,0,1.5
401,서초,2016-02-27,4.3,.5,1.2
401,서초,2016-02-28,2.2,3.5,.9
401,서초,2016-02-29,-2,0,2.7
401,서초,2016-03-01,-1.1,0,1.8
401,서초,2016-03-02,4.2,0,1.5
401,서초,2016-03-03,9,0,.8
401,서초,2016-03-04,13.5,0,.8
401,서초,2016-03-05,12.7,36,.9
401,서초,2016-03-06,9.5,0,1.3
401,서초,2016-03-07,9.6,0,.6
401,서초,2016-03-08,4.2,0,1.8
401,서초,2016-03-09,1.5,0,1.8
401,서초,2016-03-10,.4,0,2.1
401,서초,2016-03-11,1,0,1.7
401,서초,2016-03-12,3.4,0,1.2
401,서초,2016-03-13,5.1,0,.7
401,서초,2016-03-14,6.1,0,1.4
401,서초,2016-03-15,6.9,0,1.2
401,서초,2016-03-16,8.8,0,.9
401,서초,2016-03-17,10.2,0,.5
401,서초,2016-03-18,14,0,.8
401,서초,2016-03-19,12.4,0,1.5
401,서초,2016-03-20,11.2,0,1.1
401,서초,2016-03-21,10.9,0,1.4
401,서초,2016-03-22,8.9,0,1.6
401,서초,2016-03-23,9.1,0,1.7
401,서초,2016-03-24,8.2,0,1.5
401,서초,2016-03-25,7.6,0,1.2
401,서초,2016-03-26,7.6,0,1.3
